no_kel,no_kec,nama_kel
1101010001,1101010,Latiung
1101010002,1101010,Labuhan Bajau
1101010003,1101010,Suak Lamatan
1101010004,1101010,Ana Ao
1101010005,1101010,Lataling
1101010006,1101010,Pulau Bengkalak
1101010007,1101010,Badegong
1101010008,1101010,Kebun Baru
1101010009,1101010,Ulul Mayang
1101010010,1101010,Pasir Tinggi
1101010011,1101010,Labuhan Jaya
1101010012,1101010,Labuhan Bakti
1101010013,1101010,Batu Ralang
1101010014,1101010,Alus Alus
1101010015,1101010,Seuneubok
1101010016,1101010,Blang Sebel
1101010017,1101010,Trans Baru
1101010018,1101010,Trans Meranti
1101010019,1101010,Trans Jernge
1101020022,1101020,Air Pinang
1101020023,1101020,Kuala Makmur
1101020024,1101020,Ganting
1101020025,1101020,Linggi
1101020026,1101020,Lugu
1101020027,1101020,Sinabang
1101020028,1101020,Suka Maju
1101020029,1101020,Suka Karya
1101020030,1101020,Suka Jaya
1101020031,1101020,Air Dingin
1101020032,1101020,Kota Batu
1101020035,1101020,Suak Buluh
1101020036,1101020,Ujung Tinggi
1101020037,1101020,Pulau Siumat
1101020038,1101020,Sefoyan
1101020039,1101020,Amaiteng Mulia
1101020040,1101020,Ameria Bahagia
1101021001,1101021,Sital
1101021002,1101021,Leubang
1101021003,1101021,Leubang Hulu
1101021004,1101021,Awe Seubal
1101021005,1101021,Lantik
1101021006,1101021,Awe Kecil
1101021007,1101021,Salur
1101021008,1101021,Salur Latun
1101021009,1101021,Salur Lasengalu
1101021010,1101021,Nancala
1101021011,1101021,Maudil
1101021012,1101021,Inor
1101021013,1101021,Naibos
1101021014,1101021,Laayon
1101021015,1101021,Angkeo
1101021016,1101021,Bunon
1101021017,1101021,Silengas
1101021018,1101021,Pulau Teupah
1101022001,1101022,Kahat
1101022002,1101022,Busung Indah
1101022003,1101022,Nancawa
1101022004,1101022,Labuah
1101022005,1101022,Abail
1101022006,1101022,Simpang Abail
1101022007,1101022,Lanting
1101022008,1101022,Lasikin
1101022009,1101022,Matanurung
1101022010,1101022,Sua Sua
1101022011,1101022,Batu Batu
1101022012,1101022,Situbuk
1101030001,1101030,Dihit
1101030002,1101030,Lauke
1101030003,1101030,Lambaya
1101030004,1101030,Lakubang
1101030005,1101030,Kampung Aie
1101030006,1101030,Lauree
1101030007,1101030,Latitik
1101030008,1101030,Lamayang
1101030009,1101030,Wel Wel
1101030020,1101030,Situfa Jaya
1101030021,1101030,Putra Jaya
1101030022,1101030,Luan Sorip
1101030023,1101030,Suak Baru
1101030024,1101030,Sebbe
1101030025,1101030,Kuta Baru
1101030026,1101030,Wel Langkom
1101031001,1101031,Kuala Bakti
1101031002,1101031,Lugu Sebahak
1101031003,1101031,Gunung Putih
1101031004,1101031,Babussalam
1101031005,1101031,Muara Aman
1101031006,1101031,Luan Balu
1101031007,1101031,Sambai
1101031008,1101031,Kuala Baru
1101031009,1101031,Tanjung Raya
1101031010,1101031,Bulu Hadik
1101032001,1101032,Bubuhan
1101032002,1101032,Amarabu
1101032003,1101032,Kuta Inang
1101032004,1101032,Kuta Padang
1101032005,1101032,Latak Ayah
1101032006,1101032,Sibuluh
